Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
56ea0a94-685f-0e00-2077-cdc9d8c45f02,2006-01-03,,999-89-2492,S99951050,X73434460X,Mr.,Carey440,Beau391,Zieme486,,,,white,nonhispanic,M,San Mateo  California  US,835 Emard Throughway Suite 66,Merced,California,Merced County,6047,95348,37.232385607619904,-120.58087978900303,37905.96,50043.99,75237
14ce6301-7362-0794-14f1-d220d324c04e,2013-09-05,,999-48-8610,,,,Winfred745,Johnson679,Kautzer186,,,,white,nonhispanic,M,Sacramento  California  US,572 O'Hara Path,San Bernardino,California,San Bernardino County,6071,92405,34.1467286508919,-117.25813300919307,30621.86,3935.21,111444
f57c5219-fbc4-97d3-9903-65e941e5f49a,2015-06-19,,999-22-1381,,,,Angla303,,Gusikowski974,,,,black,nonhispanic,F,Linda  California  US,849 Hauck Burg Unit 94,Fresno,California,Fresno County,6019,93721,36.83212385073731,-119.7541141381386,1650.00,44671.25,1642
32da2377-c13c-a5a1-fddf-082818344c75,1971-03-24,2005-10-22,999-49-3920,S99930497,X20466117X,Mr.,Fredrick998,Gene733,McGlynn426,,,M,white,hispanic,M,San Jose  California  US,920 Hintz Fork,San Diego,California,San Diego County,6073,92140,32.93302508067235,-117.10597456235202,10342.71,202995.18,20650
41f14f30-457c-f30e-9f5f-607acbfdb77f,1994-07-29,,999-25-4647,S99913560,X21344258X,Mrs.,Olivia294,,Camarillo982,,Arriaga291,M,white,hispanic,F,Kingston  Kingston  JM,175 Adams Lodge Unit 26,Moreno Valley,California,Riverside County,6065,92555,33.98324763424933,-117.3512934836507,13326.96,1328903.90,5700
d6afda83-ea18-ff05-49f5-106551da5000,1981-05-01,,999-21-6027,S99952190,X58923048X,Mr.,Maria750,,Bosco882,,,M,white,nonhispanic,M,Los Angeles  California  US,919 Toy Way Suite 62,Corona,California,Riverside County,6065,92860,33.795146272380826,-117.47650997811677,96801.47,36743.49,169383
d86eaaab-6fda-7113-c13a-39cdc41883fc,1980-04-07,,999-79-9702,S99988834,X14530771X,Mrs.,Laci507,Syble581,Metz686,,Reilly981,M,hawaiian,hispanic,F,Sacramento  California  US,605 Cruickshank Pathway,Woodland,California,Yolo County,6113,95776,38.715881842590996,-121.87668751393724,568915.92,303828.47,97078
1ebdce50-3cd5-0b9e-91fb-cbdffedc1d76,1971-08-14,,999-12-2434,S99987364,X68975780X,Mr.,Rodrigo242,Martín25,Córdova800,,,D,black,hispanic,M,Panama City  Panama  PA,144 Langworth Road Apt 9,Carson,California,Los Angeles County,6037,90746,33.790397299190786,-118.24328257911723,124269.18,193522.88,40950
f47bee28-ed73-044c-69d3-b0a56ef5026f,1973-05-23,,999-60-7201,S99986696,X43000824X,Mr.,Ray930,Juan88,Heller342,,,M,white,nonhispanic,M,South San Francisco  California  US,152 Yundt Approach Apt 77,Modesto,California,Stanislaus County,6099,95351,37.676985806001035,-121.10361483212567,9957.78,238592.56,17761
597b61cc-44c5-43ca-ceea-bbed6fc4a6fb,1964-05-03,2016-12-08,999-14-7771,S99973214,X17778083X,Mr.,Dustin31,Alonzo487,Lubowitz58,,,M,asian,nonhispanic,M,San Diego  California  US,511 Blick Frontage road Suite 92,Altadena,California,Los Angeles County,6037,91001,34.186512934551494,-118.1024051540849,135948.48,206879.66,98594
2b134772-42c5-9648-7556-7908debab907,1997-03-07,,999-54-8918,S99959475,X21769087X,Mrs.,Maryrose226,Jackie93,Hermiston71,,Carter549,M,white,nonhispanic,F,Los Angeles  California  US,264 Schuppe View,Los Angeles,California,Los Angeles County,6037,91604,34.22248050908845,-118.55561738444644,91305.92,262368.35,110080
9d6a42af-3238-ecf9-e041-5de78ed5d771,1994-10-13,,999-90-1977,S99927706,X16336596X,Mr.,Mario764,Guillermo498,Rael318,,,M,asian,hispanic,M,San Salvador  El Salvador  SV,1051 Kirlin Path,Union City,California,Alameda County,6001,94544,37.769749674763226,-122.03319350133059,80008.24,78309.07,59658
dd206a8d-7c06-fac8-295a-386ca85b4c10,1965-12-19,,999-31-9184,S99929079,X1501728X,Mrs.,Angelia425,Mammie808,Gleason633,,O'Keefe54,D,black,hispanic,F,Antelope  California  US,825 Crooks Brook Suite 4,San Diego,California,San Diego County,6073,92139,32.668567603419255,-116.93829041425948,18542.15,1113734.78,15346
